24-Apr-14 21:50:12.310822 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-14 21:50:12.311822 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-14 21:50:12.311822 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-14 21:50:12.312825 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db()                                                       
24-Apr-14 21:50:12.312825 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-14 21:50:12.313824 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-14 21:50:12.341829 | DEBUG    | MAIN LOGGER                    | IN view_test_pdf(self):                                                         
24-Apr-14 21:50:12.341829 | DEBUG    | MAIN LOGGER                    | get_documents_dirpath() -> str: C:/Users/hayar/OneDrive/Документы               
24-Apr-14 21:50:12.342831 | DEBUG    | MAIN LOGGER                    | IN load_pdf_for_view(self, file_path): file_path = C:\Users\hayar\OneDrive\Документы\test.pdf
24-Apr-14 21:50:12.375387 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar()                                                          
24-Apr-14 21:50:12.375387 | DEBUG    | MAIN LOGGER                    | set_statusbar(statusbar)                                                        
24-Apr-14 21:50:12.376388 | DEBUG    | MAIN LOGGER                    | get_statusbar() -> MainWindow._statusbar                                        
24-Apr-14 21:50:12.376388 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-14 21:50:12.377389 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
